date,open,high,low,close,volume
2024-01-01,1553.24,1555.23,1545.69,1546.39,430109
2024-01-02,1541.04,1553.34,1536.34,1548.08,561127
2024-01-03,1535.54,1549.24,1519.57,1526.87,500309
2024-01-04,1528.27,1528.97,1522.83,1527.61,236791
2024-01-05,1562.21,1570.19,1553.5,1556.36,590074
2024-01-08,1551.51,1560.93,1530.41,1539.61,474267
2024-01-09,1549.19,1560.68,1537.09,1554.39,460796
2024-01-10,1542.05,1559.29,1526.53,1548.37,282013
2024-01-11,1567.94,1580.56,1562.58,1564.6,518582
2024-01-12,1565.0,1579.09,1551.77,1573.11,271021
2024-01-15,1614.73,1626.28,1597.84,1620.64,523150
2024-01-16,1609.25,1618.51,1605.87,1610.16,804360
2024-01-17,1610.91,1611.64,1595.41,1609.65,282398
2024-01-18,1588.77,1604.71,1572.54,1598.71,156752
2024-01-19,1626.6,1652.67,1622.61,1629.71,437528
2024-01-22,1613.43,1614.18,1598.7,1608.74,660870
2024-01-23,1572.22,1577.2,1555.79,1561.74,580314
2024-01-24,1489.74,1523.29,1472.91,1504.48,400676
2024-01-25,1482.23,1483.78,1470.15,1472.63,719296
2024-01-26,1526.87,1530.83,1517.8,1520.18,450587
2024-01-29,1535.58,1553.93,1520.57,1543.94,473002
2024-01-30,1549.06,1562.85,1547.85,1560.5,387074
2024-01-31,1516.45,1534.1,1506.47,1513.3,229535
2024-02-01,1521.3,1526.78,1510.81,1524.49,837139
2024-02-02,1533.68,1544.6,1515.07,1532.64,421309
2024-02-05,1592.96,1605.02,1571.4,1586.16,535595
2024-02-06,1586.9,1590.47,1571.07,1589.85,537886
2024-02-07,1588.14,1601.72,1574.88,1586.85,453578
2024-02-08,1550.32,1551.46,1546.3,1546.66,575243
2024-02-09,1551.64,1556.47,1542.56,1544.8,678962
2024-02-12,1548.79,1557.25,1533.05,1535.31,214044
2024-02-13,1546.32,1547.97,1532.75,1533.33,754930
2024-02-14,1525.34,1526.56,1514.94,1523.51,366521
2024-02-15,1489.79,1497.19,1483.32,1491.54,342497
2024-02-16,1501.77,1515.46,1482.9,1484.23,323002
2024-02-19,1529.84,1539.73,1511.3,1524.98,457604
2024-02-20,1531.98,1535.69,1514.42,1528.73,715735
2024-02-21,1562.25,1576.91,1558.65,1570.86,468090
2024-02-22,1587.16,1594.04,1572.43,1581.03,610253
2024-02-23,1570.24,1588.61,1556.14,1576.33,233298
2024-02-26,1592.06,1601.12,1580.31,1595.7,634152
2024-02-27,1597.74,1617.64,1591.86,1608.43,361468
2024-02-28,1599.42,1607.16,1592.4,1603.56,411384
2024-02-29,1596.2,1602.41,1586.39,1595.71,694532
2024-03-01,1628.2,1651.06,1611.96,1640.44,600412
2024-03-04,1650.09,1659.49,1648.84,1657.46,601494
2024-03-05,1657.29,1663.3,1646.82,1657.93,488650
2024-03-06,1628.36,1643.09,1623.68,1638.65,491619
2024-03-07,1695.5,1712.19,1693.77,1706.13,630355
2024-03-08,1689.46,1708.04,1683.5,1696.48,429211
2024-03-11,1659.23,1674.16,1637.46,1670.93,556155
2024-03-12,1688.69,1689.96,1682.72,1683.54,283531
2024-03-13,1690.72,1706.78,1679.96,1699.12,414579
2024-03-14,1750.28,1752.45,1729.34,1743.6,523526
2024-03-15,1806.66,1817.04,1796.67,1798.38,431280
2024-03-18,1779.29,1821.17,1778.71,1789.96,544971
2024-03-19,1825.25,1828.05,1823.73,1824.88,584882
2024-03-20,1781.02,1791.17,1776.98,1785.27,527435
2024-03-21,1776.77,1811.84,1767.58,1786.88,435639
2024-03-22,1763.98,1770.25,1730.9,1766.93,762136
2024-03-25,1753.29,1756.34,1746.97,1755.39,373111
2024-03-26,1782.69,1786.64,1766.29,1776.4,519593
2024-03-27,1783.93,1798.55,1771.81,1774.87,617195
2024-03-28,1781.55,1814.34,1772.69,1791.36,554328
2024-03-29,1819.66,1824.56,1795.78,1823.35,542545
2024-04-01,1808.78,1812.51,1798.57,1804.01,445657
2024-04-02,1798.49,1814.94,1777.39,1788.0,531458
2024-04-03,1732.85,1761.07,1726.59,1754.2,225136
2024-04-04,1769.06,1777.9,1750.47,1757.86,299521
2024-04-05,1695.56,1708.82,1689.81,1696.98,555999
2024-04-08,1688.91,1709.9,1673.22,1676.11,574418
2024-04-09,1657.42,1677.56,1653.95,1660.93,331705
2024-04-10,1617.85,1627.97,1614.85,1624.58,422760
2024-04-11,1617.76,1620.53,1600.14,1617.4,376480
2024-04-12,1619.41,1628.38,1602.65,1610.02,269584
2024-04-15,1611.49,1618.38,1595.86,1611.25,230952
2024-04-16,1587.54,1609.5,1575.03,1606.43,604594
2024-04-17,1644.4,1651.93,1636.36,1638.81,757157
2024-04-18,1580.92,1594.12,1577.28,1593.72,613808
2024-04-19,1621.17,1633.96,1616.24,1629.12,647083
2024-04-22,1593.39,1618.13,1580.13,1602.68,561769
2024-04-23,1641.95,1669.0,1623.65,1657.15,275408
2024-04-24,1661.73,1683.72,1640.42,1672.18,666843
2024-04-25,1643.91,1655.73,1639.85,1652.05,587445
2024-04-26,1616.08,1657.44,1593.45,1621.03,378168
2024-04-29,1597.58,1600.52,1595.59,1598.0,528846
2024-04-30,1593.52,1597.6,1581.84,1596.18,643117
2024-05-01,1558.35,1570.57,1555.26,1569.97,480308
2024-05-02,1596.46,1607.34,1593.49,1597.91,584116
2024-05-03,1568.2,1574.92,1559.09,1560.61,599780
2024-05-06,1555.29,1565.99,1543.68,1547.95,557807
2024-05-07,1558.15,1567.66,1544.94,1557.1,682897
2024-05-08,1565.98,1566.21,1556.11,1561.15,221929
2024-05-09,1530.23,1537.75,1516.96,1523.44,609673
2024-05-10,1527.44,1545.76,1514.38,1517.11,670696
2024-05-13,1538.28,1552.63,1514.18,1525.34,387640
2024-05-14,1553.33,1561.39,1543.33,1555.82,378890
2024-05-15,1497.08,1515.31,1487.66,1499.11,809569
2024-05-16,1458.97,1462.38,1447.75,1448.3,595461
2024-05-17,1485.01,1488.02,1471.76,1473.5,522059
2024-05-20,1440.6,1441.86,1418.84,1429.59,652252
2024-05-21,1376.89,1396.18,1375.87,1393.21,298455
2024-05-22,1383.32,1387.04,1381.12,1384.84,618275
2024-05-23,1370.34,1396.75,1364.98,1393.01,621615
2024-05-24,1387.63,1391.01,1377.09,1382.58,474172
2024-05-27,1355.35,1355.53,1348.23,1354.98,452470
2024-05-28,1370.48,1394.57,1359.36,1370.12,455025
2024-05-29,1381.58,1391.96,1377.02,1382.53,414008
2024-05-30,1377.4,1382.46,1365.05,1368.48,505875
2024-05-31,1362.36,1367.58,1342.15,1364.36,588857
2024-06-03,1376.5,1382.51,1369.38,1369.42,761051
2024-06-04,1368.48,1370.34,1361.38,1364.7,465912
2024-06-05,1342.22,1344.21,1334.07,1339.83,503416
2024-06-06,1360.11,1367.83,1339.45,1356.97,388955
2024-06-07,1357.18,1364.64,1350.36,1356.43,607783
2024-06-10,1346.61,1373.21,1345.82,1354.01,422129
2024-06-11,1383.34,1387.99,1373.74,1378.41,514552
2024-06-12,1393.89,1399.72,1388.42,1388.94,675709
2024-06-13,1417.24,1439.19,1410.19,1418.26,447919
2024-06-14,1410.69,1419.37,1396.91,1405.56,542646
2024-06-17,1409.21,1417.48,1394.29,1402.9,215020
2024-06-18,1426.61,1437.7,1426.26,1435.81,502904
2024-06-19,1454.52,1463.86,1453.48,1455.56,324062
2024-06-20,1486.74,1491.71,1485.16,1490.04,411760
2024-06-21,1481.16,1495.91,1473.73,1487.9,289786
2024-06-24,1486.56,1501.22,1471.12,1484.17,465529
2024-06-25,1473.72,1483.91,1463.08,1479.96,565775
2024-06-26,1479.09,1484.05,1478.8,1482.31,646367
2024-06-27,1472.36,1473.87,1468.21,1470.56,350597
2024-06-28,1473.36,1476.42,1452.26,1470.79,594255
2024-07-01,1506.89,1525.27,1497.4,1504.47,622088
2024-07-02,1473.69,1474.73,1454.7,1457.41,556558
2024-07-03,1492.69,1499.85,1490.32,1496.45,509386
2024-07-04,1485.16,1492.88,1480.72,1483.3,546374
2024-07-05,1461.74,1485.09,1448.64,1470.61,595866
2024-07-08,1474.54,1481.21,1468.9,1471.0,708950
2024-07-09,1493.52,1500.46,1483.65,1484.96,391417
2024-07-10,1510.98,1518.38,1492.5,1501.86,640401
2024-07-11,1482.52,1488.23,1477.93,1487.25,436130
2024-07-12,1424.29,1440.59,1410.26,1426.28,635510
2024-07-15,1420.82,1427.17,1402.22,1411.9,181647
2024-07-16,1367.02,1375.47,1360.14,1367.66,466557
2024-07-17,1393.72,1396.88,1380.34,1387.07,486640
2024-07-18,1392.74,1411.22,1388.32,1399.54,334775
2024-07-19,1375.9,1383.46,1361.02,1366.45,632858
2024-07-22,1386.32,1393.19,1374.47,1379.24,495423
2024-07-23,1415.03,1427.51,1409.03,1411.76,357321
2024-07-24,1396.18,1408.44,1371.69,1401.78,653955
2024-07-25,1447.7,1455.17,1446.01,1448.85,501263
2024-07-26,1494.51,1499.82,1483.82,1493.38,409623
2024-07-29,1504.97,1511.58,1500.31,1502.99,473926
2024-07-30,1460.01,1473.86,1447.02,1460.77,538695
2024-07-31,1484.41,1488.0,1479.71,1486.03,477759
2024-08-01,1486.32,1492.72,1463.5,1484.89,708939
2024-08-02,1462.36,1469.68,1439.05,1452.23,275361
2024-08-05,1421.44,1437.82,1418.28,1435.86,320506
2024-08-06,1461.28,1489.29,1457.31,1471.37,546453
2024-08-07,1438.03,1468.15,1431.49,1449.22,407828
2024-08-08,1519.34,1532.67,1511.33,1524.58,408486
2024-08-09,1491.34,1510.11,1481.23,1504.43,545646
2024-08-12,1526.68,1528.32,1513.37,1522.47,533252
2024-08-13,1499.04,1499.24,1494.08,1498.33,326121
2024-08-14,1513.23,1517.1,1508.02,1515.15,491871
2024-08-15,1466.13,1490.37,1465.64,1471.14,675650
2024-08-16,1493.58,1496.5,1484.56,1492.41,463856
2024-08-19,1487.49,1503.33,1484.81,1486.17,534718
2024-08-20,1470.96,1478.33,1450.86,1468.53,297753
2024-08-21,1472.4,1477.87,1466.0,1477.79,284137
2024-08-22,1493.76,1494.56,1485.07,1488.92,283818
2024-08-23,1476.09,1490.57,1467.89,1487.01,479653
2024-08-26,1545.06,1548.05,1534.03,1535.47,340342
2024-08-27,1474.1,1499.21,1461.12,1497.13,403073
2024-08-28,1463.24,1470.66,1460.85,1467.59,411535
2024-08-29,1470.55,1484.67,1452.78,1479.44,615796
2024-08-30,1530.4,1542.66,1521.84,1524.38,389498
2024-09-02,1585.67,1600.81,1580.38,1597.54,797327
2024-09-03,1606.99,1620.93,1589.62,1592.48,156287
2024-09-04,1578.61,1600.55,1574.58,1590.9,510876
2024-09-05,1541.33,1543.31,1511.97,1525.85,511074
2024-09-06,1524.52,1530.12,1520.11,1521.12,382143
2024-09-09,1539.27,1543.34,1528.92,1539.03,650802
2024-09-10,1529.66,1533.19,1524.59,1526.34,534421
2024-09-11,1525.65,1531.22,1496.39,1509.11,382009
2024-09-12,1518.77,1520.05,1503.86,1512.02,578513
2024-09-13,1480.73,1515.44,1478.3,1497.45,167949
2024-09-16,1523.03,1530.09,1510.82,1513.99,260516
2024-09-17,1519.83,1533.49,1511.05,1518.07,766853
2024-09-18,1506.09,1525.41,1493.68,1518.37,321537
2024-09-19,1484.82,1490.93,1470.54,1479.19,675569
2024-09-20,1470.52,1479.83,1466.27,1479.48,580960
2024-09-23,1506.25,1511.28,1497.26,1504.89,492649
2024-09-24,1499.03,1500.9,1492.4,1497.28,357897
2024-09-25,1410.37,1423.56,1394.27,1414.95,272299
2024-09-26,1418.47,1423.15,1411.18,1413.89,473710
2024-09-27,1417.59,1436.49,1410.97,1424.86,480996
2024-09-30,1431.03,1439.35,1429.42,1429.66,618169
2024-10-01,1403.75,1417.03,1390.14,1407.6,456926
2024-10-02,1366.34,1372.37,1360.71,1367.59,645933
2024-10-03,1382.38,1384.24,1368.69,1369.22,573473
2024-10-04,1408.7,1417.32,1396.78,1407.92,661931
2024-10-07,1399.45,1411.64,1385.49,1407.1,618152
2024-10-08,1370.74,1374.1,1368.23,1371.54,565086
2024-10-09,1370.36,1380.16,1369.79,1375.66,257259
2024-10-10,1409.64,1432.94,1396.03,1409.46,394388
2024-10-11,1428.65,1444.77,1416.35,1427.5,437009
2024-10-14,1454.36,1455.47,1453.69,1453.74,696839
2024-10-15,1433.35,1434.43,1413.99,1432.75,270440
2024-10-16,1426.18,1438.79,1411.73,1430.07,627337
2024-10-17,1424.42,1426.35,1421.09,1421.23,407971
2024-10-18,1442.02,1453.01,1429.3,1434.43,100000
2024-10-21,1413.59,1420.78,1410.59,1417.99,292430
2024-10-22,1425.8,1432.64,1416.96,1426.22,389562
2024-10-23,1398.73,1400.66,1384.77,1398.3,446925
2024-10-24,1370.58,1374.77,1354.42,1362.05,498031
2024-10-25,1353.26,1356.09,1344.14,1346.0,443387
2024-10-28,1324.44,1340.64,1307.22,1329.29,636839
2024-10-29,1327.83,1336.76,1313.64,1327.35,578676
2024-10-30,1329.48,1357.36,1321.67,1339.48,379077
2024-10-31,1347.36,1371.31,1341.11,1353.89,552366
2024-11-01,1362.32,1370.48,1358.6,1362.21,440196
2024-11-04,1356.69,1363.72,1335.77,1352.43,617832
2024-11-05,1412.93,1422.72,1403.76,1406.22,375480
2024-11-06,1418.25,1425.95,1397.42,1420.45,445062
2024-11-07,1431.48,1445.02,1428.23,1441.23,565746
2024-11-08,1472.37,1477.8,1460.03,1469.45,100000
2024-11-11,1453.03,1455.82,1452.48,1454.29,351772
2024-11-12,1455.27,1458.13,1437.72,1452.19,391420
2024-11-13,1437.31,1442.41,1435.77,1436.16,602278
2024-11-14,1491.36,1492.02,1484.72,1486.05,100000
2024-11-15,1483.32,1494.16,1476.22,1478.48,546808
2024-11-18,1485.59,1485.79,1474.2,1479.35,448229
2024-11-19,1440.73,1446.7,1440.6,1444.05,358599
2024-11-20,1470.9,1488.82,1452.62,1463.62,661364
2024-11-21,1463.2,1471.44,1448.59,1466.89,374574
2024-11-22,1470.78,1473.05,1466.41,1470.16,463994
2024-11-25,1499.15,1510.73,1475.77,1485.33,517744
2024-11-26,1472.07,1496.38,1464.04,1469.45,528600
2024-11-27,1430.6,1439.18,1418.49,1438.99,623001
2024-11-28,1481.29,1482.43,1464.1,1470.33,323224
2024-11-29,1489.62,1490.3,1479.12,1482.21,351310
2024-12-02,1520.16,1525.99,1502.5,1511.54,635617
2024-12-03,1507.52,1509.31,1493.61,1506.04,649240
2024-12-04,1497.69,1503.88,1472.17,1495.1,403548
2024-12-05,1478.82,1480.81,1464.83,1480.54,478872
2024-12-06,1467.51,1475.39,1460.19,1472.67,523151
2024-12-09,1468.24,1470.26,1452.38,1457.1,614704
2024-12-10,1481.87,1488.21,1477.44,1484.6,425620
2024-12-11,1443.73,1447.4,1441.27,1447.21,608580
2024-12-12,1474.31,1484.12,1468.42,1477.59,475512
2024-12-13,1457.56,1475.14,1431.75,1444.11,540014
2024-12-16,1490.99,1502.94,1477.27,1484.47,218551
2024-12-17,1495.22,1513.96,1494.06,1497.98,452954
2024-12-18,1475.32,1476.91,1461.8,1475.66,574729
2024-12-19,1445.58,1457.1,1435.52,1441.9,544541
2024-12-20,1483.19,1485.96,1475.67,1476.7,526503
2024-12-23,1442.44,1462.79,1441.45,1454.15,233103
2024-12-24,1427.74,1428.34,1415.33,1421.32,223816
2024-12-25,1461.36,1470.58,1459.54,1462.95,462577
2024-12-26,1431.24,1447.58,1426.02,1436.16,305268
2024-12-27,1406.54,1411.66,1401.03,1409.29,449623
2024-12-30,1382.91,1393.73,1367.63,1377.46,751446
2024-12-31,1371.57,1374.16,1355.44,1359.62,382612
2025-01-01,1368.84,1369.47,1356.59,1367.83,717587
2025-01-02,1405.01,1414.17,1395.08,1401.11,426827
2025-01-03,1402.52,1409.25,1399.03,1408.25,522394
2025-01-06,1425.88,1429.4,1408.97,1422.39,538355
2025-01-07,1404.69,1410.48,1389.11,1398.94,310971
2025-01-08,1393.61,1411.33,1386.96,1404.06,322469
2025-01-09,1435.52,1439.89,1431.47,1439.21,505989
2025-01-10,1418.94,1421.62,1412.93,1413.35,451754
2025-01-13,1388.83,1405.66,1379.03,1401.15,480314
2025-01-14,1423.04,1430.24,1414.63,1425.71,283335
2025-01-15,1382.63,1384.13,1376.48,1378.49,550707
2025-01-16,1363.16,1377.62,1349.32,1374.78,524483
2025-01-17,1383.72,1389.01,1379.54,1386.47,472842
2025-01-20,1407.51,1416.46,1393.49,1407.12,366049
2025-01-21,1415.73,1422.34,1405.16,1409.46,375385
2025-01-22,1372.66,1382.04,1364.57,1381.5,592317
2025-01-23,1404.08,1420.11,1390.04,1396.34,208702
2025-01-24,1370.93,1379.14,1359.27,1368.83,543797
2025-01-27,1404.24,1406.52,1395.84,1395.89,400105
2025-01-28,1400.06,1400.12,1373.73,1391.97,287998
2025-01-29,1458.05,1464.72,1447.94,1455.57,571268
2025-01-30,1483.33,1490.21,1476.24,1479.74,598703
2025-01-31,1492.24,1508.24,1486.06,1505.34,591212
2025-02-03,1486.9,1513.63,1476.1,1497.01,611601
2025-02-04,1492.35,1502.98,1489.02,1499.89,694486
2025-02-05,1478.2,1494.47,1468.53,1480.78,418810
2025-02-06,1506.14,1512.26,1488.17,1499.14,691946
2025-02-07,1490.4,1509.03,1483.06,1503.81,393120
2025-02-10,1498.94,1506.49,1495.23,1501.34,425266
